ID,property_scope,availability,location,size,total_sqft,bath,balcony,buying or not buying,BER,Renovation needed,price-per-sqft-$
283,Constructed Space,Ready To Move,DCC,3 BED,1490,3,1,No,C,Maybe,600.2550336
284,Extended Coverage,Ready To Move,DCC,3 BED,1075,2,1,No,E,Yes,485.6744186
285,Extended Coverage,18-Aug,DCC,3 BED,1425,2,2,No,G,Yes,748.7017544
286,Constructed Space,Ready To Move,Fingal,2 BED,1200,2,1,No,A,No,378.3333333
287,Extended Coverage,Ready To Move,DCC,3 BED,1280,2,2,No,E,Yes,496.5625
288,Extended Coverage,Ready To Move,Fingal,2 BED,1084,2,2,No,E,Yes,523.5239852
289,Extended Coverage,18-Jul,Fingal,2 BED,1015,2,2,Yes,E,Yes,289.3970443
290,Extended Coverage,21-May,Dun Laoghaire,2 BED,1017,2,1,Yes,F,Yes,571.9636185
291,Extended Coverage,Ready To Move,Fingal,2 BED,1027,2,2,No,B,Maybe,486.2706913
292,Extended Coverage,Ready To Move,Fingal,2 BED,1069,2,2,No,F,Yes,477.7829747
293,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1349,2,1,No,C,Maybe,826.2194218
294,Extended Coverage,Ready To Move,Fingal,2 BED,1005,2,1,Yes,E,Yes,564.6766169
295,Extended Coverage,Ready To Move,DCC,2 BED,1417,2,3,No,D,Yes,600.7410021
296,Land Parcel,18-Jan,DCC,3 Bedroom,1475,3,1,Yes,E,Yes,754.1016949
297,Usable Interior,Ready To Move,Fingal,2 BED,950,2,2,No,B,Maybe,561.5263158
298,Extended Coverage,Ready To Move,Fingal,4 BED,2000,4,0,Yes,F,Yes,681
299,Land Parcel,Ready To Move,South Dublin,3 Bedroom,880,3,1,No,G,Yes,1805.681818
300,Extended Coverage,Ready To Move,Dun Laoghaire,4 BED,1863,3,2,Yes,A,No,633.6017177
301,Extended Coverage,Ready To Move,South Dublin,2 BED,1010,2,1,No,F,Yes,331.509901
302,Extended Coverage,Ready To Move,Fingal,3 BED,1425,2,1,No,D,Yes,557.5438596
303,Extended Coverage,Ready To Move,Fingal,3 BED,1450,3,0,No,A,No,782.7586207
304,Extended Coverage,Ready To Move,DCC,3 BED,1847,3,2,No,A,No,645.2355171
305,Extended Coverage,Ready To Move,South Dublin,2 BED,1100,2,3,No,E,Yes,464.3181818
306,Extended Coverage,20-Dec,Dun Laoghaire,1 BED,525,1,1,Yes,D,Yes,562.0952381
307,Extended Coverage,Ready To Move,South Dublin,3 BED,1665,3,2,No,G,Yes,647.5975976
308,Extended Coverage,Ready To Move,South Dublin,4 BED,1664,4,3,Yes,G,Yes,443.359375
309,Extended Coverage,Ready To Move,DCC,3 BED,1850,3,3,Yes,B,Maybe,920.2702703
310,Extended Coverage,Ready To Move,DCC,2 BED,1438,2,3,Yes,B,Maybe,789.2906815
311,Extended Coverage,Ready To Move,Fingal,3 BED,1560,3,3,No,C,Maybe,836.6987179
312,Extended Coverage,18-Apr,Dun Laoghaire,2 BED,1350,2,1,Yes,B,Maybe,467.0311111
313,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1550,3,3,No,D,Yes,490.6129032
314,Extended Coverage,18-Apr,South Dublin,2 BED,1140,2,2,Yes,F,Yes,462.9605263
315,Land Parcel,Ready To Move,Fingal,5 Bedroom,1200,5,2,Yes,C,Maybe,1702.5
316,Extended Coverage,18-Dec,Fingal,2 BED,850,2,2,Yes,F,Yes,360.5294118
317,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1280,2,2,No,F,Yes,665.0390625
318,Constructed Space,Ready To Move,South Dublin,2 BED,1170,2,2,No,F,Yes,504.4444444
319,Extended Coverage,Ready To Move,Fingal,2 BED,1113,2,1,No,D,Yes,520.0808625
320,Extended Coverage,Ready To Move,Fingal,2 BED,1385,2,1,No,D,Yes,680.9176895
321,Extended Coverage,18-Apr,Dun Laoghaire,2 BED,1128,2,1,No,G,Yes,654.0336879
322,Land Parcel,Ready To Move,Fingal,2 Bedroom,1200,2,2,No,F,Yes,1210.666667
323,Land Parcel,Ready To Move,Fingal,4 Bedroom,1200,4,3,No,C,Maybe,1560.625
324,Extended Coverage,Ready To Move,Fingal,3 BED,2390,3,2,No,A,No,1970.8159
325,Land Parcel,Ready To Move,South Dublin,4 Bedroom,2400,4,1,No,B,Maybe,1891.666667
326,Extended Coverage,Ready To Move,Fingal,3 BED,1464,3,2,Yes,A,No,434.1530055
327,Extended Coverage,Ready To Move,Fingal,2 BED,1200,2,2,No,A,No,520.2083333
328,Extended Coverage,Ready To Move,South Dublin,2 BED,1200,2,2,No,C,Maybe,491.8333333
329,Extended Coverage,Ready To Move,South Dublin,3 BED,1150,2,1,Yes,A,No,542.826087
330,Constructed Space,Ready To Move,Fingal,3 BED,1645,3,2,No,C,Maybe,655.4711246
331,Extended Coverage,20-Mar,Dun Laoghaire,2 BED,1000,2,1,No,F,Yes,760.45
332,Land Parcel,Ready To Move,Fingal,4 Bedroom,2650,4,2,No,D,Yes,848.0377358
333,Extended Coverage,Ready To Move,South Dublin,2 BED,1192,2,2,Yes,D,Yes,704.614094
334,Extended Coverage,Ready To Move,South Dublin,3 BED,2135,3,2,No,E,Yes,1142.974239
335,Extended Coverage,19-Dec,Dun Laoghaire,2 BED,1173,2,1,No,C,Maybe,561.2105712
336,Constructed Space,Ready To Move,Dun Laoghaire,2 BED,1020,2,2,No,D,Yes,500.7352941
337,Extended Coverage,Ready To Move,DCC,4 BED,3122,6,2,No,C,Maybe,836.1627162
338,Extended Coverage,Ready To Move,South Dublin,3 BED,1600,3,3,No,E,Yes,454
339,Land Parcel,18-Mar,Fingal,2 Bedroom,1200,2,0,Yes,D,Yes,747.2083333
340,Usable Interior,Ready To Move,Fingal,2 BED,1230,2,3,No,A,No,442.9268293
341,Extended Coverage,Ready To Move,South Dublin,2 BED,1250,2,2,Yes,A,No,363.2
342,Extended Coverage,Ready To Move,Fingal,2 BED,1325,2,2,No,D,Yes,651.0188679
343,Constructed Space,Ready To Move,Fingal,3 BED,1850,3,1,No,B,Maybe,920.2702703
344,Extended Coverage,21-Dec,Dun Laoghaire,1 BED,525,,,Yes,G,Yes,465.4571429
345,Extended Coverage,Ready To Move,South Dublin,2 BED,1200,2,2,Yes,G,Yes,614.7916667
346,Land Parcel,Ready To Move,Other,3 Bedroom,1350,2,0,No,E,Yes,1177.037037
347,Extended Coverage,18-Jun,Fingal,3 BED,1260,3,1,Yes,C,Maybe,444.631746
348,Extended Coverage,Ready To Move,Fingal,3 BED,1800,3,0,No,B,Maybe,945.8333333
349,Land Parcel,18-Dec,Fingal,3 Bedroom,11,3,2,No,C,Maybe,76354.54545
350,Constructed Space,Ready To Move,South Dublin,2 BED,1100,2,1,No,D,Yes,446.2609091
351,Extended Coverage,Ready To Move,DCC,2 BED,1508,2,1,No,E,Yes,579.5424403
352,Usable Interior,Ready To Move,Fingal,3 BED,1592,3,2,No,G,Yes,534.7047739
353,Extended Coverage,Ready To Move,DCC,2 BED,1388,2,3,No,E,Yes,466.1023055
354,Extended Coverage,18-May,Fingal,1 BED,630,1,1,No,A,No,510.7492063
355,Land Parcel,Ready To Move,Fingal,3 Bedroom,2000,3,2,No,B,Maybe,2071.375
356,Extended Coverage,Ready To Move,Other,3 BED,1762,3,1,Yes,A,No,805.1929625
357,Extended Coverage,21-Dec,Fingal,2 BED,950,2,2,No,D,Yes,597.3684211
358,Extended Coverage,Ready To Move,South Dublin,4 BED,3252,5,3,No,F,Yes,1169.203567
359,Extended Coverage,18-Aug,South Dublin,2 BED,1116,2,1,No,F,Yes,508.5125448
360,Extended Coverage,Ready To Move,South Dublin,2 BED,1308,2,2,No,D,Yes,772.6330275
361,Extended Coverage,Ready To Move,Fingal,3 BED,1200,3,0,No,D,Yes,851.25
362,Land Parcel,Ready To Move,Other,4 Bedroom,1500,4,2,No,G,Yes,1740.333333
363,Constructed Space,Ready To Move,Fingal,1 BED,500,1,1,No,E,Yes,419.95
364,Extended Coverage,Ready To Move,DCC,2 BED,1075,2,1,No,F,Yes,549.0232558
365,Extended Coverage,18-Mar,Fingal,1 BED,530,1,0,No,A,No,249.7
366,Constructed Space,Ready To Move,DCC,2 BED,1205,2,3,No,A,No,621.659751
367,Extended Coverage,Ready To Move,Fingal,2 BED,1075,2,2,No,A,No,633.4883721
368,Constructed Space,Ready To Move,DCC,2 BED,930,2,2,No,D,Yes,475.9677419
369,Extended Coverage,Ready To Move,DCC,2 BED,1380,2,1,No,A,No,493.4782609
370,Extended Coverage,Ready To Move,Dun Laoghaire,4 BED,2483,5,2,No,D,Yes,969.0696738
371,Constructed Space,Ready To Move,South Dublin,2 BED,1166,2,2,No,G,Yes,535.3773585
372,Extended Coverage,Ready To Move,Fingal,2 BED,1050,2,1,No,A,No,702.6190476
373,Extended Coverage,19-Mar,Fingal,3 BED,2023.71,3,2,No,D,Yes,1542.340553
374,Extended Coverage,Ready To Move,DCC,2 BED,1200,2,2,No,D,Yes,442.65
375,Extended Coverage,Ready To Move,Fingal,3 BED,1600,2,1,No,A,No,766.125
376,Extended Coverage,Ready To Move,South Dublin,3 BED,1935,3,2,Yes,B,Maybe,645.2196382
377,Extended Coverage,18-May,DCC,1 BED,451,1,0,No,E,Yes,752.4722838
378,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1800,3,2,Yes,A,No,599.0277778
379,Extended Coverage,18-May,DCC,3 BED,1400,3,0,No,G,Yes,624.25
380,Extended Coverage,Ready To Move,DCC,3 BED,1801,3,2,No,B,Maybe,724.7362576
381,Constructed Space,Ready To Move,Fingal,2 BED,1451,2,,No,G,Yes,703.9972433
382,Land Parcel,19-Jan,Fingal,2 Bedroom,1200,1,1,No,C,Maybe,340.5
383,Extended Coverage,Ready To Move,DCC,2 BED,1160,2,2,No,G,Yes,430.5172414
384,Constructed Space,Ready To Move,DCC,2 BED,1000,2,1,No,G,Yes,283.75
385,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,950,2,1,No,D,Yes,477.8947368
386,Constructed Space,20-Dec,Fingal,3 BED,1629,3,2,No,E,Yes,550.4297115
387,Constructed Space,Ready To Move,Fingal,3 BED,1580,2,0,Yes,B,Maybe,962.5949367
388,Extended Coverage,21-Jun,Fingal,3 BED,1826,3,2,No,B,Maybe,752.1084337
389,Constructed Space,Ready To Move,Fingal,2 BED,1245,2,1,No,C,Maybe,856.9477912
390,Extended Coverage,Ready To Move,Fingal,2 BED,1145,2,2,No,B,Maybe,453.9004367
391,Extended Coverage,Ready To Move,South Dublin,2 BED,825,2,1,No,C,Maybe,454
392,Extended Coverage,18-Aug,DCC,3 BED,1693,3,3,No,F,Yes,724.0401654
393,Extended Coverage,Ready To Move,DCC,2 BED,1113.27,2,2,No,B,Maybe,540.3451095
394,Constructed Space,Ready To Move,Fingal,2 BED,1460,2,1,Yes,A,No,450.890411
395,Constructed Space,Ready To Move,Fingal,2 BED,1050,2,1,No,F,Yes,345.9047619
396,Constructed Space,Ready To Move,South Dublin,2 BED,1260,2,2,No,D,Yes,495.4365079
397,Extended Coverage,Ready To Move,Other,6 BED,700,3,,Yes,A,No,1945.714286
398,Constructed Space,Ready To Move,DCC,2 BED,1656,2,1,No,B,Maybe,822.4637681
399,Extended Coverage,Ready To Move,Fingal,3 BED,1208,3,1,Yes,F,Yes,422.8062914
400,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1910,3,2,No,F,Yes,956.7277487
401,Extended Coverage,Ready To Move,Dun Laoghaire,4 BED,3252,4,1,Yes,A,No,802.7367774
402,Land Parcel,Ready To Move,South Dublin,2 Bedroom,1200,2,1,No,B,Maybe,614.7916667
403,Extended Coverage,Ready To Move,Fingal,4 BED,1200,4,1,Yes,F,Yes,1655.208333
404,Extended Coverage,Ready To Move,Fingal,2 BED,1175,2,1,No,E,Yes,792.0851064
405,Land Parcel,Ready To Move,Fingal,2 Bedroom,1000,2,0,Yes,G,Yes,1872.75
406,Land Parcel,Ready To Move,Fingal,4 Bedroom,1200,2,0,Yes,D,Yes,1182.291667
407,Extended Coverage,Ready To Move,Fingal,3 BED,2390,3,2,No,G,Yes,1947.07113
408,Extended Coverage,19-Jan,Fingal,7 BED,12000,6,3,Yes,A,No,2080.833333
409,Land Parcel,Ready To Move,South Dublin,2 Bedroom,550,1,1,Yes,A,No,1279.454545
410,Extended Coverage,Ready To Move,DCC,1 BED,34.46Sq. Meter,1,0,Yes,A,No,
411,Extended Coverage,Ready To Move,Fingal,2 BED,1185,2,,Yes,D,Yes,363.9662447
412,Extended Coverage,Ready To Move,DCC,2 BED,750,2,1,No,B,Maybe,575.0666667
413,Land Parcel,Ready To Move,South Dublin,6 Bedroom,1200,7,3,No,D,Yes,2364.583333
414,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1550,3,3,No,F,Yes,472.3064516
415,Constructed Space,Ready To Move,Other,3 BED,1760,3,2,No,B,Maybe,567.5
416,Extended Coverage,Ready To Move,South Dublin,2 BED,1125,2,2,No,E,Yes,625.5111111
417,Land Parcel,Ready To Move,DCC,3 Bedroom,1350,3,2,No,F,Yes,1261.111111
418,Land Parcel,17-Dec,South Dublin,2 Bedroom,1000,2,1,No,C,Maybe,624.25
419,Constructed Space,18-Aug,South Dublin,2 BED,1090,2,2,No,E,Yes,327.7963303
420,Land Parcel,Ready To Move,DCC,2 Bedroom,1200,2,0,No,G,Yes,567.5
421,Extended Coverage,Ready To Move,DCC,3 BED,1991,4,2,No,B,Maybe,587.1672526
422,Extended Coverage,18-Oct,Fingal,2 BED,1060,2,1,No,F,Yes,283.75
423,Extended Coverage,Ready To Move,South Dublin,2 BED,1105,2,1,No,F,Yes,770.361991
424,Constructed Space,Ready To Move,DCC,2 BED,985,2,2,Yes,C,Maybe,772.0304569
425,Land Parcel,Ready To Move,Fingal,6 Bedroom,1533,5,3,No,A,No,629.3215917
426,Extended Coverage,17-Jul,DCC,3 BED,1590,3,2,No,C,Maybe,563.9308176
427,Extended Coverage,Ready To Move,Fingal,2 BED,1120,2,2,Yes,F,Yes,557.3660714
428,Extended Coverage,Ready To Move,Fingal,2 BED,1069,2,1,Yes,F,Yes,583.9569691
429,Extended Coverage,Ready To Move,Fingal,3 BED,1933,3,2,No,D,Yes,822.0382825
430,Constructed Space,16-Mar,DCC,2 BED,1194,2,0,Yes,E,Yes,655.9045226
431,Extended Coverage,Ready To Move,DCC,2 BED,1150,2,3,No,G,Yes,681
432,Extended Coverage,Ready To Move,South Dublin,2 BED,1240,2,2,No,G,Yes,431.3
433,Extended Coverage,Ready To Move,Fingal,2 BED,1419,2,2,No,E,Yes,384.7322058
434,Land Parcel,Ready To Move,Fingal,8 Bedroom,1200,8,,Yes,G,Yes,2364.583333
435,Extended Coverage,Ready To Move,Fingal,3 BED,2150,4,,Yes,B,Maybe,1266.976744
436,Extended Coverage,Ready To Move,Fingal,3 BED,1450,3,2,No,G,Yes,430.5172414
437,Extended Coverage,18-Jul,Fingal,3 BED,1630,3,2,Yes,A,No,475.5159509
438,Extended Coverage,Ready To Move,South Dublin,2 BED,708,1,1,No,B,Maybe,641.2429379
439,Land Parcel,Ready To Move,DCC,3 Bedroom,1000,4,3,No,D,Yes,1248.5
440,Land Parcel,Ready To Move,Dun Laoghaire,4 Bedroom,11890,4,3,No,D,Yes,668.2085786
441,Extended Coverage,Ready To Move,DCC,2 BED,1250,2,1,Yes,D,Yes,690.08
442,Extended Coverage,Ready To Move,Fingal,3 BED,1400,2,1,Yes,G,Yes,770.1785714
443,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1670,2,3,No,G,Yes,387.3952096
444,Extended Coverage,Ready To Move,South Dublin,3 BED,1750,3,2,No,F,Yes,648.5714286
445,Extended Coverage,Ready To Move,DCC,2 BED,1404,2,1,No,D,Yes,573.9672365
446,Extended Coverage,Ready To Move,DCC,3 BED,1715,2,2,No,B,Maybe,628.7172012
447,Constructed Space,18-Apr,Dun Laoghaire,1 BED,630,1,1,No,G,Yes,624.2492063
448,Extended Coverage,Ready To Move,DCC,3 BED,1752.12,3,2,No,B,Maybe,874.5120197
449,Extended Coverage,Ready To Move,DCC,3 BED,1650,3,2,No,C,Maybe,536.5454545
450,Extended Coverage,Ready To Move,Fingal,2 BED,1295,2,1,No,B,Maybe,486.165251
451,Land Parcel,Ready To Move,South Dublin,3 Bedroom,1800,3,2,No,F,Yes,1589
452,Extended Coverage,18-Sep,Dun Laoghaire,2 BED,1346,2,1,Yes,E,Yes,624.2496285
453,Land Parcel,Ready To Move,Fingal,4 Bedroom,1200,4,2,Yes,G,Yes,1891.666667
454,Extended Coverage,Ready To Move,DCC,2 BED,1150,2,2,No,A,No,542.826087
455,Constructed Space,Ready To Move,Other,4 Bedroom,3309,4,3,No,C,Maybe,1114.762768
456,Extended Coverage,18-May,Fingal,3 BED,1190,2,2,No,B,Maybe,289.4722689
457,Extended Coverage,Ready To Move,South Dublin,3 BED,1620,3,2,Yes,A,No,686.6049383
458,Extended Coverage,18-Apr,Fingal,2 BED,950,2,1,No,E,Yes,561.0484211
459,Extended Coverage,Ready To Move,Other,11 BED,5000,9,3,No,F,Yes,817.2
460,Extended Coverage,Ready To Move,DCC,3 BED,2450,3,0,Yes,G,Yes,555.9183673
461,Extended Coverage,18-May,Fingal,3 BED,1220,2,1,No,F,Yes,327.7540984
462,Extended Coverage,Ready To Move,Fingal,2 BED,850,2,1,Yes,G,Yes,400.5882353
463,Constructed Space,Ready To Move,South Dublin,2 BED,1020,2,2,Yes,B,Maybe,701.0294118
464,Constructed Space,Ready To Move,Fingal,2 BED,1100,2,2,No,E,Yes,515.9090909
465,Extended Coverage,Ready To Move,Fingal,2 BED,1150,2,2,Yes,G,Yes,1243.565217
466,Extended Coverage,18-Dec,Dun Laoghaire,3 BED,1760,2,2,Yes,B,Maybe,838.3522727
467,Extended Coverage,Ready To Move,South Dublin,3 BED,1800,3,3,No,B,Maybe,693.6111111
468,Extended Coverage,Ready To Move,DCC,2 BED,1070,2,1,No,C,Maybe,572.8037383
469,Land Parcel,Ready To Move,South Dublin,4 Bedroom,1500,4,2,No,F,Yes,1664.666667
470,Land Parcel,Ready To Move,Fingal,2 Bedroom,1440,2,0,No,C,Maybe,748.7847222
471,Extended Coverage,Ready To Move,South Dublin,2 BED,900,2,1,Yes,B,Maybe,504.4444444
472,Constructed Space,Ready To Move,Other,4 BED,1200,4,1,No,G,Yes,2175.416667
473,Extended Coverage,18-May,Dun Laoghaire,2 BED,1130,2,1,No,C,Maybe,423.4646018
474,Extended Coverage,Ready To Move,DCC,2 BED,1320,2,1,No,G,Yes,1418.75
475,Extended Coverage,19-Jun,South Dublin,2 BED,1270,2,1,Yes,A,No,875.8267717
476,Constructed Space,Ready To Move,Fingal,2 BED,1200,2,1,No,F,Yes,586.4166667
477,Extended Coverage,Ready To Move,Other,4 BED,4800,4,,No,G,Yes,555.6770833
478,Extended Coverage,Ready To Move,Fingal,2 BED,1200,2,1,No,A,No,699.9166667
479,Extended Coverage,Ready To Move,Fingal,2 BED,929,2,0,No,A,No,612.9483315
480,Constructed Space,Ready To Move,Fingal,4 BED,1150,4,2,No,C,Maybe,2566.086957
481,Land Parcel,Ready To Move,Fingal,4 Bedroom,1125,4,3,No,A,No,1816
482,Land Parcel,Ready To Move,South Dublin,5 Bedroom,500,3,2,Yes,B,Maybe,1475.5
483,Land Parcel,Ready To Move,Fingal,5 Bedroom,1200,5,2,No,A,No,1797.083333
484,Extended Coverage,Ready To Move,Fingal,3 BED,1464,3,2,Yes,F,Yes,434.1530055
485,Extended Coverage,Ready To Move,Fingal,4 BED,3600,4,3,No,C,Maybe,1261.111111
486,Land Parcel,Ready To Move,Other,4 Bedroom,2000,4,2,No,G,Yes,561.825
487,Extended Coverage,Ready To Move,Fingal,2 BED,1208,2,1,No,A,No,460.3890728
488,Extended Coverage,Ready To Move,Fingal,2 BED,1130,2,2,Yes,B,Maybe,602.6548673
489,Extended Coverage,Ready To Move,Fingal,3 BED,1753,3,2,No,G,Yes,776.9537935
490,Extended Coverage,Ready To Move,DCC,5 BED,4500,7,3,No,A,No,849.9888889
491,Land Parcel,Ready To Move,South Dublin,3 Bedroom,600,3,2,No,F,Yes,1097.166667
492,Extended Coverage,22-Jun,DCC,2 BED,1196,2,2,No,B,Maybe,896.0426421
493,Constructed Space,Ready To Move,Fingal,2 BED,1150,3,3,No,C,Maybe,518.1521739
494,Extended Coverage,18-Apr,Dun Laoghaire,2 BED,1128,2,1,Yes,A,No,633.9095745
495,Extended Coverage,Ready To Move,Fingal,2 BED,1000,2,1,No,A,No,601.55
496,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1035,2,1,Yes,E,Yes,493.4782609
497,Constructed Space,Ready To Move,South Dublin,2 BED,950,2,1,Yes,F,Yes,382.3157895
498,Extended Coverage,Ready To Move,DCC,3 BED,1075,2,1,No,B,Maybe,380.0930233
499,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1040,2,1,No,D,Yes,529.3028846
500,Land Parcel,17-Oct,Fingal,2 Bedroom,720,2,1,No,G,Yes,709.375
501,Extended Coverage,Ready To Move,South Dublin,3 BED,1511,3,1,No,B,Maybe,713.6002647
502,Constructed Space,Ready To Move,Fingal,3 BED,1300,3,1,No,A,No,506.3846154
503,Extended Coverage,19-Dec,DCC,3 BED,1545,3,1,No,A,No,505.0563107
504,Constructed Space,Ready To Move,South Dublin,1 BED,375,2,0,No,F,Yes,786.9333333
505,Extended Coverage,Ready To Move,Fingal,2 BED,1062,2,3,No,D,Yes,406.1205273
506,Extended Coverage,Ready To Move,Fingal,2 BED,1115,2,1,No,A,No,407.1748879
507,Extended Coverage,Ready To Move,DCC,2 BED,1000,2,1,Yes,F,Yes,397.25
508,Extended Coverage,17-May,South Dublin,2 BED,883,2,1,Yes,A,No,578.4258211
509,Extended Coverage,19-Apr,Dun Laoghaire,2 BED,1195,2,1,Yes,B,Maybe,664.8535565
510,Land Parcel,Ready To Move,Fingal,4 Bedroom,1200,3,1,No,D,Yes,1560.625
511,Constructed Space,Ready To Move,Fingal,1 Bedroom,700,1,0,No,G,Yes,664.7857143
512,Extended Coverage,Ready To Move,DCC,2 BED,1246,2,1,No,F,Yes,610.3130016
513,Land Parcel,Ready To Move,DCC,4 Bedroom,660,4,2,No,A,No,1547.727273
514,Land Parcel,Ready To Move,South Dublin,4 Bedroom,8500,4,2,No,C,Maybe,193.6176471
515,Extended Coverage,Ready To Move,Fingal,4 BED,1600,4,1,No,D,Yes,567.5
516,Extended Coverage,18-Dec,Fingal,4 BED,2805,5,3,No,B,Maybe,623.1372549
517,Extended Coverage,Ready To Move,DCC,3 BED,1584,3,,No,B,Maybe,465.7512626
518,Land Parcel,Ready To Move,South Dublin,4 Bedroom,3000,5,1,No,F,Yes,1040.416667
519,Constructed Space,Ready To Move,DCC,3 BED,1175,2,2,Yes,C,Maybe,463.6595745
520,Constructed Space,19-Jul,Other,3 BED,1595,3,2,No,C,Maybe,818.338558
521,Extended Coverage,Ready To Move,Fingal,2 BED,1353,2,2,No,G,Yes,922.7642276
522,Extended Coverage,18-Apr,Dun Laoghaire,3 BED,1599,3,2,Yes,B,Maybe,887.2732958
523,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1150,2,1,Yes,C,Maybe,690.8695652
524,Extended Coverage,17-Dec,DCC,4 BED,5230,6,1,No,F,Yes,1009.130019
525,Extended Coverage,Ready To Move,DCC,2 BED,1155,2,2,No,D,Yes,419.9991342
526,Constructed Space,Ready To Move,Fingal,1 BED,1200,2,0,No,B,Maybe,803.9583333
527,Extended Coverage,18-Jul,Fingal,2 BED,1000,2,1,No,C,Maybe,283.75
528,Extended Coverage,Ready To Move,Dun Laoghaire,4 BED,3000,4,,No,G,Yes,454
529,Constructed Space,Ready To Move,South Dublin,3 BED,1867,3,1,No,C,Maybe,972.6834494
530,Extended Coverage,18-Jun,DCC,2 BED,1251,2,1,No,A,No,426.4188649
531,Extended Coverage,18-Apr,Fingal,2 BED,1028,2,1,No,F,Yes,502.3589494
532,Extended Coverage,Ready To Move,South Dublin,2 BED,1222,2,2,No,C,Maybe,417.9623568
533,Extended Coverage,Ready To Move,Fingal,3 BED,1170,2,1,No,A,No,640.2564103
534,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,2400,4,1,No,G,Yes,1158.645833
535,Extended Coverage,Ready To Move,Fingal,3 BED,1385,2,2,No,B,Maybe,397.2909747
536,Extended Coverage,Ready To Move,DCC,2 BED,1372,2,1,No,B,Maybe,562.5364431
537,Extended Coverage,Ready To Move,South Dublin,3 BED,1282,2,2,No,C,Maybe,433.8143526
538,Extended Coverage,Ready To Move,South Dublin,9 BED,5000,9,3,Yes,A,No,476.7
539,Constructed Space,Ready To Move,Fingal,5 Bedroom,3000,3,1,Yes,D,Yes,1997.6
540,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1135,2,1,No,E,Yes,397.2995595
541,Constructed Space,20-Dec,Dun Laoghaire,3 BED,1768,3,2,No,F,Yes,648.388009
542,Constructed Space,Ready To Move,Fingal,3 BED,1325,2,1,No,D,Yes,770.9433962
543,Extended Coverage,18-Apr,Dun Laoghaire,3 BED,1599,3,2,No,D,Yes,702.7204503
544,Land Parcel,18-Mar,Dun Laoghaire,3 Bedroom,1500,3,1,Yes,A,No,468.7546667
545,Land Parcel,Ready To Move,Fingal,3 Bedroom,2610,3,0,Yes,E,Yes,2169.980843
546,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1286,2,2,No,F,Yes,556.0264386
547,Constructed Space,Ready To Move,South Dublin,5 BED,2845,5,1,Yes,E,Yes,558.5237258
548,Extended Coverage,Ready To Move,Other,3 BED,1600,2,,No,C,Maybe,354.6875
549,Extended Coverage,18-Sep,Fingal,2 BED,1195 - 1440,2,0,Yes,E,Yes,
550,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,3450,5,2,No,E,Yes,855.3623188
551,Extended Coverage,18-Apr,South Dublin,2 BED,1102,2,2,Yes,G,Yes,552.7713249
552,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1350,2,2,No,C,Maybe,454
553,Extended Coverage,Ready To Move,DCC,3 BED,1200,2,2,No,A,No,397.25
554,Land Parcel,Ready To Move,DCC,6 Bedroom,1300,6,0,No,B,Maybe,1265.961538
555,Land Parcel,Ready To Move,Fingal,2 Bedroom,1800,1,1,No,C,Maybe,504.4444444
556,Constructed Space,Ready To Move,South Dublin,2 BED,950,2,1,Yes,F,Yes,477.8947368
557,Extended Coverage,21-Dec,Dun Laoghaire,1 BED,525,1,1,No,G,Yes,589.1180952
558,Constructed Space,Ready To Move,Fingal,2 BED,656,2,1,No,A,No,432.5457317
559,Land Parcel,Ready To Move,Fingal,4 Bedroom,1780,4,3,No,F,Yes,1115.870787
560,Extended Coverage,Ready To Move,Fingal,2 BED,1056,2,1,Yes,D,Yes,859.8484848
561,Extended Coverage,21-Feb,Fingal,1 BED,595,1,1,No,E,Yes,635.6
562,Constructed Space,Ready To Move,Fingal,2 BED,1080,2,2,Yes,G,Yes,525.462963
563,Extended Coverage,19-Dec,Fingal,3 BED,2225,3,1,No,C,Maybe,816.1797753
564,Extended Coverage,18-Aug,Fingal,2 BED,1126,2,1,No,B,Maybe,283.749556
565,Extended Coverage,Ready To Move,DCC,3 BED,1490,3,1,Yes,C,Maybe,639.8657718
566,Land Parcel,Ready To Move,South Dublin,4 Bedroom,2000,4,1,No,D,Yes,1702.5
567,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1550,3,3,Yes,D,Yes,732.2580645
568,Extended Coverage,Ready To Move,,3 BED,1600,3,2,No,B,Maybe,610.0625
569,Constructed Space,Ready To Move,Fingal,2 BED,1160,2,1,No,F,Yes,538.1465517
